Date;Close;Open;High;Low;Volume;Variation;return;volatility;lag1;lag2;vol_lag1;vol_lag2;ret_abs;ret_sq;ma5;ma20;std5;std20
2022-08-01;959.22;954.65;959.22;953.88;;0.48;0.004775673045382143;0.005975549241405483;-0.0011411283751284972;0.005287354169617011;0.00811575544743235;0.008115518512001858;0.004775673045382143;2.280705303638955e-05;954.8399999999999;953.789;0.0042595673917667325;0.005975549241405483
2022-08-02;956.22;959.22;959.22;955.6;;-0.31;-0.0031324421052583286;0.005972336148176083;0.004775673045382143;-0.0011411283751284972;0.005975549241405483;0.00811575544743235;0.0031324421052583286;9.81219354279523e-06;955.3059999999999;954.423;0.004239939609039762;0.005972336148176083
2022-08-03;956.82;956.22;958.84;952.51;;0.06;0.0006272738883385222;0.004996665516998122;-0.0031324421052583286;0.004775673045382143;0.005972336148176083;0.005975549241405483;0.0006272738883385222;3.934725309913289e-07;956.5300000000001;955.708;0.003675463263867637;0.004996665516998122
2022-08-04;960.07;956.82;961.2;955.24;;0.34;0.003390912482321759;0.004793852468813374;0.0006272738883385222;-0.0031324421052583286;0.004996665516998122;0.005972336148176083;0.003390912482321759;1.1498287462765515e-05;957.396;956.793;0.0032298056493039276;0.004793852468813374
2022-08-05;968.8;960.07;969.47;960.07;;0.91;0.009051993768624682;0.004754310225889282;0.003390912482321759;0.0006272738883385222;0.004793852468813374;0.004996665516998122;0.009051993768624682;8.193859118722008e-05;960.226;957.867;0.004559405241964878;0.004754310225889282
2022-08-08;967.4;968.8;968.8;965.05;;-0.14;-0.0014461318499996267;0.0047652478458652245;0.009051993768624682;0.003390912482321759;0.004754310225889282;0.004793852468813374;0.0014461318499996267;2.0912973275833426e-06;961.8620000000001;958.9195;0.004777875232109815;0.0047652478458652245
2022-08-09;970.93;967.4;970.94;965.38;;0.36;0.003642314675569566;0.004759177196148461;-0.0014461318499996267;0.009051993768624682;0.0047652478458652245;0.004754310225889282;0.003642314675569566;1.326645619586943e-05;964.8039999999999;959.966;0.003955241366512615;0.004759177196148461
2022-08-10;971.58;970.93;978.31;970.1;;0.07;0.0006692372489821016;0.004682774776632677;0.003642314675569566;-0.0014461318499996267;0.004759177196148461;0.0047652478458652245;0.0006692372489821016;4.478784954251314e-07;967.756;960.8209999999999;0.003948846024197222;0.004682774776632677
2022-08-11;980.27;971.58;981.43;970.27;;0.89;0.008904431609298036;0.004782724342245971;0.0006692372489821016;0.003642314675569566;0.004682774776632677;0.004759177196148461;0.008904431609298036;7.928890228466603e-05;971.7959999999999;962.3555;0.004751927921418172;0.004782724342245971
2022-08-12;986.8;980.27;988.24;979.74;;0.67;0.006639340732469246;0.004753644004242065;0.008904431609298036;0.0006692372489821016;0.004782724342245971;0.004682774776632677;0.006639340732469246;4.408084536182527e-05;975.396;963.8765;0.004224799006495892;0.004753644004242065
